Time_s,LapID,Speed,Distance,Throttle,Brake
11.63,3,93.0263771703471,899.1905177532614,-1.7691046210076575e-05,0.996737482685046
11.64,3,92.65285833009361,899.4346491995085,-2.227583997179181e-05,0.9958919719606286
11.65,3,92.25538559026639,899.6775328408236,-2.4762267879620356e-05,0.9954334341073166
11.66,3,91.83916733462429,899.9191992679152,-2.4198981001081862e-05,0.9955373133813781
11.67,3,91.40941194692613,900.1596790714918,-1.9634630403696003e-05,0.9963790540390811
11.68,3,90.97132781093075,900.399002842262,-1.0117867154982435e-05,0.9981341003366936
11.69,3,90.53010726808013,900.6372012983148,5.2905283501578295e-06,1.0009756596847414
11.700000000000001,3,90.08970145982049,900.8743150132207,2.6591325164986818e-05,1.0049038739102156
11.71,3,89.65195760745236,901.1104012662744,5.219455351840358e-05,1.0096255266633212
11.72,3,89.21851913543615,901.3455189549767,8.035615625813997e-05,1.0148189853687257
11.73,3,88.79102946823235,901.5797269768276,0.00010933207623192456,1.0201626174510958
11.74,3,88.37113203030145,901.8130842293274,0.0001373782562874859,1.0253347903350991
11.75,3,87.96047024610394,902.0456496099762,0.00016275063927255256,1.030013871445402
11.76,3,87.56068754010029,902.2774820162741,0.00018370516803485317,1.0338782282066712
11.77,3,87.173427336751,902.5086403457215,0.00019849778542211608,1.0366062280435742
11.78,3,86.80033306051659,902.7391834958186,0.00020538443428207007,1.0378762383807774
11.790000000000001,3,86.44304813585744,902.9691703640653,0.00020262105746244214,1.0373666266429478
11.8,3,86.1032159872342,903.1986598479623,0.00018846359781096175,1.0347557602547524
11.81,3,85.78248003910728,903.4277108450093,0.00016116799817535773,1.0297220066408577
11.82,3,85.48248371593715,903.6563822527067,0.00011899020140335853,1.021943733225931
11.83,3,85.20487044218433,903.8847329685549,6.018615034269277e-05,1.0110993074346393
11.84,3,84.9512734561532,904.1128217535121,-1.6940612369089126e-05,0.9968758748689899
11.85,3,84.7211665310547,904.3406784216752,-0.00010399538865227967,0.9808215547272311
11.86,3,84.50920538826392,904.568268202871,-0.00017006877984160638,0.9686365440897889
11.870000000000001,3,84.30939383516544,904.7955475882505,-0.00018120500072321745,0.9665828433868979
11.88,3,84.11573567914394,905.0224730689647,-0.0001034482660832569,0.9809224530487938
11.89,3,83.92230187895844,905.2490013433056,9.645767370926583e-05,1.0177883677385593
11.9,3,83.7257739030494,905.4750971621552,0.00042457462250213756,1.0782984829213378
11.91,3,83.5262243642665,905.7007357369944,0.0008516378372093394,1.15705590282122
11.92,3,83.32395251134815,905.9258929784036,0.0013460216421527437,1.2482283371981675
11.93,3,83.11925759303276,906.1505447969635,0.0018761003616542223,1.3459834958121415
11.94,3,82.91243885805878,906.3746671032546,0.0024102483200356467,1.4444890884231034
11.950000000000001,3,82.70379555516456,906.5982358078576,0.002916839841618976,1.5379128247910305
11.96,3,82.49362693308862,906.8212268213529,0.003364249250725895,1.6204224146758501
11.97,3,82.28223224056936,907.043616054321,0.003720850871678371,1.6861855678375406
11.98,3,82.06991072634517,907.2653794173425,0.003955019028798276,1.7293699940360638
11.99,3,81.85696163915448,907.4864928209978,0.004035128046407482,1.7441434030313798
12.0,3,81.6436842277357,907.7069321758678,0.003929552248827861,1.7246735045834516
12.01,3,81.4303777408273,907.9266733925327,0.0036066659603812834,1.6651280084522397
12.02,3,81.21734142716764,908.1456923815731,0.0030348435053896214,1.5596746243977053
12.030000000000001,3,81.00487453549515,908.3639650535697,0.002182459208174569,1.402481062179778
12.040000000000001,3,80.79327631454831,908.581467319103,0.0010178873930582998,1.187715031558473
12.05,3,80.582843836366,908.7981751163769,-0.00048432356949288904,0.9097765230808837
12.06,3,80.37370576094133,909.0140665208406,-0.0018719370721246237,0.5810371778262821
12.07,3,80.16570527816013,909.2291232307217,-0.0018830017890430267,0.24433183195979347
12.08,3,79.95865756156755,909.4433273581252,0.0008197255738710098,-0.05462449862276035
12.09,3,79.75230057532619,909.6566743618025,0.0069075359865237934,-0.2850938698887779
