Time,Distance,X,Y,Speed,Throttle,Brake,RPM,nGear,DRS,LapID,PointIndex,Year,GrandPrix,Session,Driver,LapNumber,LapTime_s,Time_s
0 days 00:00:44.438000,2753.239444444444,11039.415432985708,13490.955777321535,241.0,100.0,False,11425.0,6,0,3,347,2023,Italian Grand Prix,R,HAM,49.0,85.888,44.438
0 days 00:00:44.447000,2753.830028001813,11040.0,13485.0,240.5500032,96.625024,False,11386.6377728,6,0,3,348,2023,Italian Grand Prix,R,HAM,49.0,85.888,44.447
0 days 00:00:44.607000,2764.1141852963124,11050.0,13380.0,232.5500032,36.625023999999996,False,10704.6377728,6,0,3,349,2023,Italian Grand Prix,R,HAM,49.0,85.888,44.607
0 days 00:00:44.678000,2768.5061111111104,11053.94233985712,13334.498725484358,229.0,10.0,True,10402.0,6,0,3,350,2023,Italian Grand Prix,R,HAM,49.0,85.888,44.678
0 days 00:00:44.807000,2776.1780895579277,11060.0,13255.0,217.39000576,3.5500032,True,9757.00032,6,0,3,351,2023,Italian Grand Prix,R,HAM,49.0,85.888,44.807
0 days 00:00:44.878000,2780.2283333333326,11062.555199466608,13213.948419371283,211.0,0.0,True,9402.0,6,0,3,352,2023,Italian Grand Prix,R,HAM,49.0,85.888,44.878
0 days 00:00:44.927000,2782.951388358981,11064.0,13186.0,207.3250048,0.0,True,9560.0247936,6,0,3,353,2023,Italian Grand Prix,R,HAM,49.0,85.888,44.927
0 days 00:00:45.118000,2793.0949999999993,11066.988326323988,13077.358571369587,193.0,0.0,True,10176.0,6,0,3,354,2023,Italian Grand Prix,R,HAM,49.0,85.888,45.118
0 days 00:00:45.126000,2793.509136409278,11067.0,13073.0,192.5,0.0,True,10176.0,6,0,3,355,2023,Italian Grand Prix,R,HAM,49.0,85.888,45.126
0 days 00:00:45.278000,2801.2283333333326,11065.214870612635,12994.00873005247,183.0,0.0,True,10176.0,5,0,3,356,2023,Italian Grand Prix,R,HAM,49.0,85.888,45.278
0 days 00:00:45.286000,2801.626103005312,11065.0,12990.0,182.75,0.049999999999999996,True,10147.35,5,0,3,357,2023,Italian Grand Prix,R,HAM,49.0,85.888,45.286
0 days 00:00:45.598000,2816.6061111111103,11045.718219913726,12842.322900233825,173.0,2.0,False,9030.0,5,0,3,358,2023,Italian Grand Prix,R,HAM,49.0,85.888,45.598
0 days 00:00:45.665000,2819.7693251564124,11038.0,12812.0,171.65999872,2.0,False,8975.39494784,5,0,3,359,2023,Italian Grand Prix,R,HAM,49.0,85.888,45.665
0 days 00:00:45.798000,2825.9949999999994,11018.675316263498,12753.06663874752,169.0,2.0,False,8867.0,5,0,3,360,2023,Italian Grand Prix,R,HAM,49.0,85.888,45.798
0 days 00:00:45.846000,2828.210338710351,11011.0,12733.0,168.0,3.6,False,8907.4,5,0,3,361,2023,Italian Grand Prix,R,HAM,49.0,85.888,45.846
0 days 00:00:45.906000,2830.955182561541,11001.0,12709.0,166.75,5.6,False,8957.9,5,0,3,362,2023,Italian Grand Prix,R,HAM,49.0,85.888,45.906
0 days 00:00:46.038000,2836.9283333333324,10974.257597851385,12657.067629658686,164.0,10.0,False,9069.0,5,0,3,363,2023,Italian Grand Prix,R,HAM,49.0,85.888,46.038
0 days 00:00:46.186000,2843.556576884106,10938.0,12601.0,161.78,22.58,False,8799.64,5,0,3,364,2023,Italian Grand Prix,R,HAM,49.0,85.888,46.186
0 days 00:00:46.238000,2845.8727777777767,10924.242071972474,12582.201973286827,161.0,27.0,False,8705.0,5,0,3,365,2023,Italian Grand Prix,R,HAM,49.0,85.888,46.238
0 days 00:00:46.366000,2851.552030316515,10888.0,12538.0,160.46666666666667,38.2,False,8759.4,5,0,3,366,2023,Italian Grand Prix,R,HAM,49.0,85.888,46.366
0 days 00:00:46.478000,2856.5394444444437,10853.26722560899,12501.877774441564,160.0,48.0,False,8807.0,5,0,3,367,2023,Italian Grand Prix,R,HAM,49.0,85.888,46.478
0 days 00:00:46.726000,2867.7710039625154,10767.0,12430.0,162.47381585617012,60.987533244893086,False,9053.144677688926,5,0,3,368,2023,Italian Grand Prix,R,HAM,49.0,85.888,46.726
0 days 00:00:46.806000,2871.441373743158,10737.0,12409.0,163.2718209710637,65.17706009808441,False,9132.546186620837,5,0,3,369,2023,Italian Grand Prix,R,HAM,49.0,85.888,46.806
0 days 00:00:46.879000,2874.8072222222213,10710.020117907921,12390.748790027712,164.0,69.0,False,9205.0,5,0,3,370,2023,Italian Grand Prix,R,HAM,49.0,85.888,46.879
0 days 00:00:47.047000,2882.6277032263783,10642.0,12348.0,167.36,81.6,False,9601.48,5,0,3,371,2023,Italian Grand Prix,R,HAM,49.0,85.888,47.047
0 days 00:00:47.079000,2884.140555555555,10626.04969970407,12338.716251170199,168.0,84.0,False,9677.0,5,0,3,372,2023,Italian Grand Prix,R,HAM,49.0,85.888,47.079
0 days 00:00:47.319000,2895.8072222222218,10490.74039362242,12264.744270922965,175.0,82.0,False,10017.0,5,0,3,373,2023,Italian Grand Prix,R,HAM,49.0,85.888,47.319
0 days 00:00:47.347000,2897.2121071814418,10478.0,12258.0,176.1,83.8,False,10085.7,5,0,3,374,2023,Italian Grand Prix,R,HAM,49.0,85.888,47.347
0 days 00:00:47.599000,2910.273888888888,10395.460796423431,12216.149869466313,186.0,100.0,False,10704.0,5,0,3,375,2023,Italian Grand Prix,R,HAM,49.0,85.888,47.599
0 days 00:00:47.627000,2911.767232847633,10385.0,12211.0,187.1,100.0,False,10732.2,5,0,3,376,2023,Italian Grand Prix,R,HAM,49.0,85.888,47.627
0 days 00:00:47.879000,2925.59611111111,10263.374827836988,12151.156512279158,197.0,100.0,False,10986.0,5,0,3,377,2023,Italian Grand Prix,R,HAM,49.0,85.888,47.879
0 days 00:00:47.907000,2927.180940177198,10249.0,12144.0,197.8909090909091,100.0,False,11026.918181818182,5,0,3,378,2023,Italian Grand Prix,R,HAM,49.0,85.888,47.907
0 days 00:00:48.086000,2937.5485949084386,10158.0,12098.0,203.58636567272728,100.0,False,11288.502366254546,5,0,3,379,2023,Italian Grand Prix,R,HAM,49.0,85.888,48.086
0 days 00:00:48.266000,2948.229990413445,10066.0,12050.0,209.3136384,100.0,False,11551.5478208,5,0,3,380,2023,Italian Grand Prix,R,HAM,49.0,85.888,48.266
0 days 00:00:48.319000,2951.3849999999993,10038.393869763113,12035.478788244538,211.0,100.0,False,11629.0,5,0,3,381,2023,Italian Grand Prix,R,HAM,49.0,85.888,48.319
